time,x,y,vx,vy,energy,angular_momentum
1.189,0.374035713026677,0.9274209629744185,-5.8270642499423815,2.3501599942717255,-19.739208799771433,6.283185307179567
1.19,0.36820126574454637,0.9297528167519755,-5.841715147824878,2.313501535917305,-19.739208799748987,6.283185307179567
1.191,0.36235228273102726,0.9320479660462531,-5.856135425837644,2.276751752240422,-19.739208799726494,6.283185307179568
1.192,0.3564889948928711,0.9343063202564563,-5.870324514775442,2.2399120940841843,-19.739208799703942,6.283185307179568
1.193,0.3506116337014764,0.9365277902344215,-5.884281854560526,2.2029840158388407,-19.739208799681347,6.2831853071795685
1.194,0.34472043118375006,0.938712288288134,-5.898006894264742,2.165968975384357,-19.73920879965869,6.283185307179568
1.195,0.3388156199129469,0.9408597281851901,-5.911499092131266,2.128868434032854,-19.73920879963599,6.283185307179568
1.196,0.3328974329994875,0.9429700251561998,-5.924757915595979,2.091683856470907,-19.73920879961323,6.283185307179568
1.197,0.3269661040817549,0.945043095898132,-5.937782841308481,2.054416710701717,-19.739208799590422,6.283185307179567
1.198,0.32102186731687055,0.9470788585776031,-5.950573355152739,2.0170684679871473,-19.73920879956756,6.283185307179568
1.199,0.31506495737144946,0.9490772328341062,-5.963128952267372,1.979640602789635,-19.73920879954466,6.283185307179568
1.2,0.3090956094123358,0.9510381397831823,-5.975449137065572,1.9421345927139717,-19.739208799521705,6.283185307179567
1.201,0.3031140590973183,0.9529615020195341,-5.987533423254653,1.904551918448965,-19.739208799498698,6.283185307179568
1.202,0.2971205425658265,0.9548472436200802,-5.999381333855239,1.8668940637089753,-19.73920879947565,6.283185307179567
1.203,0.2911152964296078,0.956695290146952,-6.010992401220084,1.8291625151753346,-19.739208799452562,6.283185307179566
1.204,0.28509855776338633,0.9585055686504309,-6.022366167052517,1.7913587624376481,-19.739208799429424,6.283185307179567
1.205,0.2790705640955028,0.9602780076718274,-6.033502182424525,1.7534842979349816,-19.739208799406242,6.283185307179567
1.206,0.2730315533985373,0.9620125372463009,-6.044400007794462,1.715540616896935,-19.739208799383018,6.283185307179567
1.207,0.2669817640799139,0.9637090889056212,-6.055059213024393,1.6775292172846075,-19.739208799359744,6.283185307179568
1.208,0.26092143497248854,0.9653675956808702,-6.065479377397053,1.639451599731455,-19.73920879933645,6.283185307179568
1.209,0.25485080532511983,0.9669879921050842,-6.0756600896324535,1.6013092674840403,-19.7392087993131,6.283185307179568
1.21,0.24877011479322364,0.9685702142158383,-6.0856009479041,1.5631037263426832,-19.73920879928971,6.283185307179568
1.211,0.2426796034293116,0.9701141995577697,-6.095301559854845,1.5248364846020073,-19.739208799266287,6.2831853071795685
